Titles,Artists,popularity,release_date,explicit,duration,preview_url
First Class,Jack Harlow,94,2022-04-08,True,2:53,https://p.scdn.co/mp3-preview/27913e771fb16c5439eb7e2bbc9cf62a8be09653?cid=6acfc9d1e5e74934ba78263c7321041f
As It Was,Harry Styles,100,2022-03-31,False,2:47,https://p.scdn.co/mp3-preview/e9216304e6456a9015ac2054692fd4f0135d8aa9?cid=6acfc9d1e5e74934ba78263c7321041f
Wait For U,Future   Drake   Tems,86,2022-04-29,True,3:09,https://p.scdn.co/mp3-preview/a225651eb324272ab25dbf3b757db8d6420b0f4a?cid=6acfc9d1e5e74934ba78263c7321041f
Moscow Mule,Bad Bunny,92,2022-05-06,True,4:05,https://p.scdn.co/mp3-preview/585736d2d4dba1eef13b6d63c54dd4c16a3275fb?cid=6acfc9d1e5e74934ba78263c7321041f
Titi Me Pregunto,Bad Bunny,90,2022-05-06,False,4:03,https://p.scdn.co/mp3-preview/a174cca3a21422be508f4e108ea1c04114e42538?cid=6acfc9d1e5e74934ba78263c7321041f
Despues de La Playa,Bad Bunny,89,2022-05-06,False,3:50,https://p.scdn.co/mp3-preview/9dddf0cfb0bd4f88b4ec64bf547cd66e569fbf96?cid=6acfc9d1e5e74934ba78263c7321041f
Heat Waves,Glass Animals,85,2020-08-07,False,3:58,
Big Energy,Latto,78,2021-09-24,True,2:53,https://p.scdn.co/mp3-preview/ab84902c58e0faf02cf65f5658d85a8071f55aab?cid=6acfc9d1e5e74934ba78263c7321041f
About Damn Time,Lizzo,89,2022-04-14,True,3:11,https://p.scdn.co/mp3-preview/1e881f08e10f2f8dbac20185389fdacb1ea42342?cid=6acfc9d1e5e74934ba78263c7321041f
Me Porto Bonito,Bad Bunny   Chencho Corleone,91,2022-05-06,True,2:58,https://p.scdn.co/mp3-preview/8513b15fb5b39966d8eccaa7b8c050c7a570e6e8?cid=6acfc9d1e5e74934ba78263c7321041f
Enemy,Imagine Dragons   JID,89,2021-10-28,False,2:53,
Thought You Should Know,Morgan Wallen,75,2022-05-06,True,3:35,
Stay,The Kid LAROI   Justin Bieber,89,2021-07-09,True,2:21,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=6acfc9d1e5e74934ba78263c7321041f
Party,Bad Bunny   Rauw Alejandro,90,2022-05-06,False,3:47,https://p.scdn.co/mp3-preview/4982ab22ba534ab700ddc1f2f9ac143baaad7e24?cid=6acfc9d1e5e74934ba78263c7321041f
The Heart Part 5,Kendrick Lamar,82,2022-05-08,True,5:32,
Un Ratito,Bad Bunny,88,2022-05-06,False,2:56,https://p.scdn.co/mp3-preview/62c5c24c4264ce0788d1655686a4eca459c82b11?cid=6acfc9d1e5e74934ba78263c7321041f
Ghost,Justin Bieber,88,2021-03-19,False,2:33,
Tarot,Bad Bunny   Jhay Cortez,89,2022-05-06,False,3:57,https://p.scdn.co/mp3-preview/db8db5f15768f239548f3499bdd12bfcc6ce063f?cid=6acfc9d1e5e74934ba78263c7321041f
Puffin On Zootiez,Future,80,2022-04-29,True,2:52,https://p.scdn.co/mp3-preview/ff3bd626fd7f0bd6af4a429b3119b06ff0aee089?cid=6acfc9d1e5e74934ba78263c7321041f
Woman,Doja Cat,90,2021-06-25,True,2:52,https://p.scdn.co/mp3-preview/01b49a95f322c2c708b48e56a9da43777620af9b?cid=6acfc9d1e5e74934ba78263c7321041f
Dua Lipa,Jack Harlow,83,2022-05-06,True,2:15,https://p.scdn.co/mp3-preview/3133cd6d8db0b93c0442714062260db23be2e98f?cid=6acfc9d1e5e74934ba78263c7321041f
Yo No Soy Celoso,Bad Bunny,87,2022-05-06,True,3:50,https://p.scdn.co/mp3-preview/8b867e2dbbeb7af42c1efbc76d29d186a8ca4a61?cid=6acfc9d1e5e74934ba78263c7321041f
Churchill Downs,Jack Harlow   Drake,81,2022-05-06,True,5:09,https://p.scdn.co/mp3-preview/2ce712106eb508c534aa029bab12387490259bb9?cid=6acfc9d1e5e74934ba78263c7321041f
Bad Habits,Ed Sheeran,89,2021-10-29,False,3:50,https://p.scdn.co/mp3-preview/043f28a973add316f01a36a68f870f588d1dbb8e?cid=6acfc9d1e5e74934ba78263c7321041f
Super Gremlin,Kodak Black,80,2021-10-30,True,3:20,https://p.scdn.co/mp3-preview/31f19878b8810e3a7cc768afde0c2a31090bf430?cid=6acfc9d1e5e74934ba78263c7321041f
Ojitos Lindos,Bad Bunny   Bomba Estereo,91,2022-05-06,False,4:18,https://p.scdn.co/mp3-preview/3cd0d6fb21cdca047df503d9df5bd617c08c04d8?cid=6acfc9d1e5e74934ba78263c7321041f
Provenza,Karol G,91,2022-04-22,False,3:30,
Thats What I Want,Lil Nas X,89,2021-09-17,True,2:23,https://p.scdn.co/mp3-preview/d62f4961618e4b4d40d823a11c6a6c1bf3fbd649?cid=6acfc9d1e5e74934ba78263c7321041f
Shivers,Ed Sheeran,89,2021-10-29,False,3:27,https://p.scdn.co/mp3-preview/172691039b5878c61caa8079515b16b6ee91dcc9?cid=6acfc9d1e5e74934ba78263c7321041f
Cold Heart (PNAU Remix),Elton John   Dua Lipa,88,2021-08-13,False,3:22,
Neverita,Bad Bunny,87,2022-05-06,False,2:53,https://p.scdn.co/mp3-preview/545c52ad44359becf52e53977c0758cc6de4550b?cid=6acfc9d1e5e74934ba78263c7321041f
La Corriente,Bad Bunny   Tony Dize,87,2022-05-06,True,3:18,https://p.scdn.co/mp3-preview/5b652748ee9a5a10433e28fa0f63f365b8bf58c2?cid=6acfc9d1e5e74934ba78263c7321041f
Wasted On You,Morgan Wallen,80,2021-01-08,False,2:58,
Efecto,Bad Bunny,86,2022-05-06,False,3:33,https://p.scdn.co/mp3-preview/10a488c0e8056119b63f2d51e6507a6c1ac4235b?cid=6acfc9d1e5e74934ba78263c7321041f
Boyfriend,Dove Cameron,88,2022-02-11,True,2:33,https://p.scdn.co/mp3-preview/53120317c1fc5576aa178f37ddfa991f6eabf0d6?cid=6acfc9d1e5e74934ba78263c7321041f
Bam Bam,Camila Cabello   Ed Sheeran,89,2022-03-04,False,3:26,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=6acfc9d1e5e74934ba78263c7321041f
'Til You Can't,Cody Johnson,76,2021-10-08,False,3:44,https://p.scdn.co/mp3-preview/2d4fcd0b616eb072cd9a7343c5745ebb4db23e54?cid=6acfc9d1e5e74934ba78263c7321041f
MAMIII,Becky G   Karol G,91,2022-02-10,False,3:46,https://p.scdn.co/mp3-preview/a2748f563c888258e379756cdc94922b9c7c9cde?cid=6acfc9d1e5e74934ba78263c7321041f
Sweetest Pie,Megan Thee Stallion   Dua Lipa,84,2022-03-11,True,3:21,https://p.scdn.co/mp3-preview/97563b6b9b1b1d28c2d542fe06f70f1a55c6fae1?cid=6acfc9d1e5e74934ba78263c7321041f
AA,Walker Hayes,71,2021-11-19,False,3:09,https://p.scdn.co/mp3-preview/66d423a963d3329cb482311a3a304d611c95476b?cid=6acfc9d1e5e74934ba78263c7321041f
abcdefu,GAYLE,90,2021-08-13,True,2:48,https://p.scdn.co/mp3-preview/83c53804d9a84bee1cca941679370f0541dd4ca2?cid=6acfc9d1e5e74934ba78263c7321041f
Industry Baby,Lil Nas X   Jack Harlow,88,2021-07-23,True,3:32,https://p.scdn.co/mp3-preview/c1ab4a1b3403a8f6ac578ab5081f295751e9f1ca?cid=6acfc9d1e5e74934ba78263c7321041f
Numb Little Bug,Em Beihold,83,2022-01-28,False,2:49,
Aguacero,Bad Bunny,85,2022-05-06,False,3:30,https://p.scdn.co/mp3-preview/b3b4baf267156c50bf013d719021cffc6510047b?cid=6acfc9d1e5e74934ba78263c7321041f
Dos Mil 16,Bad Bunny,86,2022-05-06,False,3:28,https://p.scdn.co/mp3-preview/32b762468315fd6a22d2efaaf05d5b2e50d543bb?cid=6acfc9d1e5e74934ba78263c7321041f
Easy On Me,Adele,86,2021-10-14,False,3:44,https://p.scdn.co/mp3-preview/3ca514309c910bb73a9e3ef8092306900af06fa6?cid=6acfc9d1e5e74934ba78263c7321041f
Need To Know,Doja Cat,86,2021-06-25,True,3:30,https://p.scdn.co/mp3-preview/c707247354131537f5d7b0935f38db827711e76c?cid=6acfc9d1e5e74934ba78263c7321041f
Trouble With A Heartbreak,Jason Aldean,65,2022-04-22,False,3:16,https://p.scdn.co/mp3-preview/0a71593f5365a725333bc8c6ec5f8b9372be801c?cid=6acfc9d1e5e74934ba78263c7321041f
Otro Atardecer,Bad Bunny   The Marias,85,2022-05-06,False,4:04,https://p.scdn.co/mp3-preview/ee3cb9fbd895d64be27c058db230037dd957ff9f?cid=6acfc9d1e5e74934ba78263c7321041f
This Love (Taylor's Version),Taylor Swift,81,2022-05-06,False,4:10,
