Nation,Gold,Silver,Bronze,Total
Russia (RUS),16,14,23,53
Austria (AUT),13,6,8,27
France (FRA),12,14,17,43
Ukraine (UKR),11,7,5,23
Slovenia (SLO),7,6,5,18
Czech Republic (CZE),6,10,4,20
Japan (JPN),5,8,6,19
Poland (POL),5,4,8,17
China (CHN),5,3,1,9
Italy (ITA),5,1,2,8
Spain (ESP),4,5,0,9
United States (USA),3,7,3,13
South Korea (KOR),3,5,1,9
Switzerland (SUI),3,1,5,9
Canada (CAN),3,1,0,4
Belgium (BEL),2,6,0,8
Germany (GER),2,5,8,15
Iran (IRI),1,1,2,4
Kazakhstan (KAZ),0,1,3,4
Venezuela (VEN),0,1,0,1
Great Britain (GBR),0,0,4,4
Serbia (SRB),0,0,2,2
Netherlands (NED),0,0,1,1
